window,decay,threshold,fractional,allow_short,dd_limit,val_sharpe
20,1.0,0.002,False,True,0.2,-2.033576748054476
20,1.0,0.002,False,False,0.1,0.7612965433058301
20,1.0,0.002,False,False,0.15,0.585300196945937
20,1.0,0.002,False,False,0.2,0.5764655304935621
30,0.9,0.0005,True,True,0.1,-2.7610798132379832
30,0.9,0.0005,True,True,0.15,-2.2280960100119658
30,0.9,0.0005,True,True,0.2,-1.790422555590754
30,0.9,0.0005,True,False,0.1,1.2893809958853293
30,0.9,0.0005,True,False,0.15,1.3342884440246003
30,0.9,0.0005,True,False,0.2,1.3406783305553303
30,0.9,0.0005,False,True,0.1,-2.7062428816670336
30,0.9,0.0005,False,True,0.15,-2.2874826531821704
30,0.9,0.0005,False,True,0.2,-1.8437960635361232
30,0.9,0.0005,False,False,0.1,1.5183706118032168
30,0.9,0.0005,False,False,0.15,1.617816459953805
30,0.9,0.0005,False,False,0.2,1.6056138067179517
30,0.9,0.001,True,True,0.1,-2.210975724877969
30,0.9,0.001,True,True,0.15,-1.4831437233264826
30,0.9,0.001,True,True,0.2,-1.2593595756819953
30,0.9,0.001,True,False,0.1,1.0634469491103218
30,0.9,0.001,True,False,0.15,1.0613518030653712
30,0.9,0.001,True,False,0.2,1.0659402282031232
30,0.9,0.001,False,True,0.1,-2.4289132494042263
30,0.9,0.001,False,True,0.15,-1.7755970145544449
30,0.9,0.001,False,True,0.2,-1.5457369686871556
30,0.9,0.001,False,False,0.1,1.4136484226732258
30,0.9,0.001,False,False,0.15,1.4501991589447143
30,0.9,0.001,False,False,0.2,1.4788310709164947
30,0.9,0.002,True,True,0.1,-1.7144599444834672
30,0.9,0.002,True,True,0.15,-1.3021647414666564
30,0.9,0.002,True,True,0.2,-1.2671878513600867
30,0.9,0.002,True,False,0.1,0.6990213662885925
30,0.9,0.002,True,False,0.15,0.6874776789131001
30,0.9,0.002,True,False,0.2,0.6911868434681561
30,0.9,0.002,False,True,0.1,-2.7206515409201284
30,0.9,0.002,False,True,0.15,-2.4293680471397088
30,0.9,0.002,False,True,0.2,-2.0853502730237894
30,0.9,0.002,False,False,0.1,0.8676124479279613
